headline,summary,video_link
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,"November 19, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=z0gguhEmWiY
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,"October 17, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=_P7X8tMplsw
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,"September 21, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=fKl2JW_qrso
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,"September 12, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=IEEhzQoKtQU
Update (2019-09-03),"September 3, 2019 by Corey Schafer Leave a Comment ",
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),"August 6, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=mO_dS3rXDIs
Python Tutorial: Calling External Commands Using the Subprocess Module,"July 24, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=2Fp1N6dof0Y
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,"May 1, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=-nh9rCzPJ20
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,"May 1, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=06I63_p-2A4
Clarifying the Issues with Mutable Default Arguments,"April 24, 2019 by Corey Schafer Leave a Comment ",https://youtube.com/watch?v=_JGmemuINww
